,match_id,player_id,goal_type,created_at,updated_at
142,2020-10-04 Montpellier,R. Ripart Nîmes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
143,2020-10-04 Strasbourg,M. Çelik Lille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
144,2020-10-04 Strasbourg,R. Sanches Lille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
145,2020-10-04 Strasbourg,B. Yilmaz Lille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
146,2020-10-04 Brest,R. Faivre Brest,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
147,2020-10-04 Bordeaux,R. Oudin Bordeaux,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
148,2020-10-04 Bordeaux,S. Kalu Bordeaux,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
149,2020-10-04 Bordeaux,T. Basic Bordeaux,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
150,2020-10-04 Metz,I. Niane Metz,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
151,2020-10-04 Metz,I. Niane Metz,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
152,2020-10-04 Metz,I. Niane Metz,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
153,2020-10-04 Metz,P. Hamel Lorient,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
154,2020-10-04 Rennes,Raphinha Rennes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
155,2020-10-04 Rennes,D. Da Silva Rennes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
156,2020-10-04 Rennes,Y. Abdelhamid Reims,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
157,2020-10-04 Rennes,B. Dia Reims,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
158,2020-10-04 Lyon,H. Aouar Lyon,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
159,2020-10-04 Lyon,D. Payet Marseille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
160,2020-10-16 Dijon,M. Baldé Dijon,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
161,2020-10-16 Dijon,M. Terrier Rennes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
162,2020-10-16 Nîmes,K. Mbappé Paris,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
163,2020-10-16 Nîmes,A. Florenzi Paris,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
164,2020-10-16 Nîmes,K. Mbappé Paris,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
165,2020-10-16 Nîmes,P. Sarabia Paris,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
166,2020-10-17 Reims,M. Cassama Reims,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
167,2020-10-17 Reims,P. Hamel Lorient,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
168,2020-10-17 Reims,Y. Wissa Lorient,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
169,2020-10-17 Reims,T. Moffi Lorient,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
170,2020-10-17 Marseille,F. Thauvin Marseille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
171,2020-10-17 Marseille,J. Amavi Marseille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
