,buteurs,dates,match_places,minute,penalty,own_goal,full_name
582,"['67’', 'G.', 'Kakuta']","30-Janvier-2021,",Montpellier,67,,,GKakuta
583,"['88’', 'C.', 'Abi']","31-Janvier-2021,",Nice,88,,,CAbi
584,"['L.', 'Abergel', '36’']","31-Janvier-2021,",Lorient,36,,,LAbergel
585,"['Y.', 'Wissa', '80’']","31-Janvier-2021,",Lorient,80,,,YWissa
586,"['T.', 'Moffi', '90’', '+1']","31-Janvier-2021,",Lorient,901,,,TMoffi
587,"['45’', 'Neymar', '(s.p.)']","31-Janvier-2021,",Lorient,45,(s.p.),,Neymarsp
588,"['58’', 'Neymar', '(s.p.)']","31-Janvier-2021,",Lorient,58,(s.p.),,Neymarsp
589,"['F.', 'Honorat', '33’']","31-Janvier-2021,",Brest,33,,,FHonorat
590,"['I.', 'Cardona', '47’']","31-Janvier-2021,",Brest,47,,,ICardona
591,"['36’', 'F.', 'Boulaya']","31-Janvier-2021,",Brest,36,,,FBoulaya
592,"['73’', 'P.', 'Sarr']","31-Janvier-2021,",Brest,73,,,PSarr
593,"['81’', 'P.', 'Yade']","31-Janvier-2021,",Brest,81,,,PYade
594,"['87’', 'V.', 'Dias', 'Goncalves', '(s.p.)']","31-Janvier-2021,",Brest,87,(s.p.),,VDiasGoncalvessp
595,"['P.', 'Capelle', '20’']","31-Janvier-2021,",Angers,20,,,PCapelle
596,"['L.', 'Coulibaly', '35’']","31-Janvier-2021,",Angers,35,,,LCoulibaly
597,"['L.', 'Diony', '55’']","31-Janvier-2021,",Angers,55,,,LDiony
598,"['41’', 'R.', 'Ripart', '(s.p.)']","31-Janvier-2021,",Angers,41,(s.p.),,RRipartsp
599,"['81’', 'D.', 'Kutesa']","31-Janvier-2021,",Strasbourg,81,,,DKutesa
600,"['Y.', 'Yazici', '29’']","31-Janvier-2021,",Lille,29,,,YYazici
601,"['R.', 'Emond', '83’']","31-Janvier-2021,",Nantes,83,,,REmond
602,"['45’', 'G.', 'Maripan']","31-Janvier-2021,",Nantes,45,,,GMaripan
603,"['60’', 'K.', 'Volland']","31-Janvier-2021,",Nantes,60,,,KVolland
604,"['M.', 'Cuisance', '88’']","10-Mars-2021,",Marseille,88,,,MCuisance
605,"['54’', 'Y.', 'Yazici']","03-Février-2021,",Bordeaux,54,,,YYazici
606,"['66’', 'T.', 'Weah']","03-Février-2021,",Bordeaux,66,,,TWeah
607,"['89’', 'J.', 'David']","03-Février-2021,",Bordeaux,89,,,JDavid
608,"['M.', 'Terrier', '14’']","03-Février-2021,",Rennes,14,,,MTerrier
609,"['83’', 'Q.', 'Boisgard']","03-Février-2021,",Rennes,83,,,QBoisgard
610,"['P.', 'Sarr', '47’']","03-Février-2021,",Metz,47,,,PSarr
611,"['70’', 'G.', 'Laborde']","03-Février-2021,",Metz,70,,,GLaborde
612,"['A.', 'Thomasson', '08’']","03-Février-2021,",Strasbourg,8,,,AThomasson
613,"['J.', 'Aholou', '70’']","03-Février-2021,",Strasbourg,70,,,JAholou
614,"['83’', 'G.', 'Charbonnier']","03-Février-2021,",Strasbourg,83,,,GCharbonnier
615,"['90’', '+4', 'J.', 'Le', 'Douaron']","03-Février-2021,",Strasbourg,904,,,JLeDouaron
616,"['22’', 'L.', 'Paqueta']","03-Février-2021,",Dijon,22,,,LPaqueta
617,"['A.', 'Di', 'Maria', '18’']","03-Février-2021,",Paris-SG,18,,,ADiMaria
618,"['P.', 'Sarabia', '36’']","03-Février-2021,",Paris-SG,36,,,PSarabia
619,"['K.', 'Mbappé', '68’']","03-Février-2021,",Paris-SG,68,,,KMbappé
620,"['(s.p.)', 'W.', 'Ben', 'Yedder', '28’']","03-Février-2021,",Monaco,28,(s.p.),,spWBenYedder
621,"['W.', 'Ben', 'Yedder', '51’']","03-Février-2021,",Monaco,51,,,WBenYedder
622,"['47’', 'P.', 'Lees-Melou']","03-Février-2021,",Monaco,47,,,PLeesMelou
623,"['F.', 'Sotoca', '46’']","03-Février-2021,",Lens,46,,,FSotoca
624,"['F.', 'Medina', '61’']","03-Février-2021,",Lens,61,,,FMedina
625,"['37’', 'F.', 'Thauvin']","03-Février-2021,",Lens,37,,,FThauvin
626,"['45’', '+2', 'A.', 'Milik']","03-Février-2021,",Lens,452,,,AMilik
627,"['M.', 'Camara', '57’']","03-Février-2021,",Saint-Étienne,57,,,MCamara
628,"['36’', 'R.', 'Kolo', 'Muani']","03-Février-2021,",Saint-Étienne,36,,,RKoloMuani
629,"['L.', 'Abergel', '53’']","06-Février-2021,",Lorient,53,,,LAbergel
630,"['M.', 'Depay', '20’']","06-Février-2021,",Lyon,20,,,MDepay
631,"['K.', 'Toko', 'Ekambi', '30’']","06-Février-2021,",Lyon,30,,,KTokoEkambi
632,"['M.', 'Depay', '68’']","06-Février-2021,",Lyon,68,,,MDepay
633,"['S.', 'Mounié', '80’']","07-Février-2021,",Brest,80,,,SMounié
634,"['R.', 'Faivre', '85’']","07-Février-2021,",Brest,85,,,RFaivre
635,"['56’', 'U.', 'Hwang']","07-Février-2021,",Brest,56,,,UHwang
636,"['L.', 'Deaux', '23’']","07-Février-2021,",Nîmes,23,,,LDeaux
637,"['Z.', 'Ferhat', '32’']","07-Février-2021,",Nîmes,32,,,ZFerhat
638,"['N.', 'Eliasson', '81’']","07-Février-2021,",Nîmes,81,,,NEliasson
639,"['03’', 'A.', 'Golovine']","07-Février-2021,",Nîmes,3,,,AGolovine
640,"['12’', 'A.', 'Golovine']","07-Février-2021,",Nîmes,12,,,AGolovine
641,"['62’', 'A.', 'Golovine']","07-Février-2021,",Nîmes,62,,,AGolovine
642,"['78’', 'K.', 'Volland']","07-Février-2021,",Nîmes,78,,,KVolland
643,"['(csc)', 'J.', 'Boye', '14’']","07-Février-2021,",Saint-Étienne,14,,(csc),cscJBoye
644,"['(csc)', 'S.', 'Doumbia', '10’']","07-Février-2021,",Nice,10,,(csc),cscSDoumbia
645,"['M.', 'Maolida', '17’']","07-Février-2021,",Nice,17,,,MMaolida
646,"['A.', 'Gouiri', '83’']","07-Février-2021,",Nice,83,,,AGouiri
647,"['G.', 'Laborde', '48’']","07-Février-2021,",Montpellier,48,,,GLaborde
648,"['G.', 'Laborde', '56’']","07-Février-2021,",Montpellier,56,,,GLaborde
649,"['T.', 'Savanier', '61’']","07-Février-2021,",Montpellier,61,,,TSavanier
650,"['P.', 'Skuletic', '90’', '+1']","07-Février-2021,",Montpellier,901,,,PSkuletic
651,"['05’', 'S.', 'Coulibaly']","07-Février-2021,",Montpellier,5,,,SCoulibaly
652,"['88’', 'M.', 'Konaté', '(s.p.)']","07-Février-2021,",Montpellier,88,(s.p.),,MKonatésp
653,"['09’', 'J.', 'David']","07-Février-2021,",Nantes,9,,,JDavid
654,"['83’', 'J.', 'David']","07-Février-2021,",Nantes,83,,,JDavid
655,"['09’', 'K.', 'Mbappé']","07-Février-2021,",Marseille,9,,,KMbappé
656,"['24’', 'M.', 'Icardi']","07-Février-2021,",Marseille,24,,,MIcardi
657,"['J.', 'Draxler', '22’']","13-Février-2021,",Paris-SG,22,,,JDraxler
658,"['M.', 'Kean', '76’']","13-Février-2021,",Paris-SG,76,,,MKean
659,"['50’', 'R.', 'Lopes']","13-Février-2021,",Paris-SG,50,,,RLopes
660,"['A.', 'Zeneli', '13’']","13-Février-2021,",Reims,13,,,AZeneli
661,"['61’', 'F.', 'Sotoca']","13-Février-2021,",Reims,61,,,FSotoca
662,"['L.', 'Paqueta', '45’', '+2']","13-Février-2021,",Lyon,452,,,LPaqueta
663,"['20’', 'T.', 'Savanier']","13-Février-2021,",Lyon,20,,,TSavanier
664,"['65’', 'S.', 'Wahi']","13-Février-2021,",Lyon,65,,,SWahi
665,"['(s.p.)', 'W.', 'Ben', 'Yedder', '48’']","14-Février-2021,",Monaco,48,(s.p.),,spWBenYedder
666,"['W.', 'Ben', 'Yedder', '90’', '+3']","14-Février-2021,",Monaco,903,,,WBenYedder
667,"['07’', 'T.', 'Moffi', '(s.p.)']","14-Février-2021,",Monaco,7,(s.p.),,TMoffisp
668,"['62’', 'T.', 'Moffi']","14-Février-2021,",Monaco,62,,,TMoffi
669,"['27’', 'D.', 'Bouanga']","14-Février-2021,",Rennes,27,,,DBouanga
670,"['71’', 'A.', 'Nordin']","14-Février-2021,",Rennes,71,,,ANordin
671,"['T.', 'Delaine', '17’']","14-Février-2021,",Metz,17,,,TDelaine
672,"['33’', 'A.', 'Thomasson']","14-Février-2021,",Metz,33,,,AThomasson
673,"['84’', 'A.', 'Thomasson']","14-Février-2021,",Metz,84,,,AThomasson
674,"['(s.p.)', 'T.', 'Mangani', '33’']","14-Février-2021,",Angers,33,(s.p.),,spTMangani
675,"['04’', 'M.', 'Simon']","14-Février-2021,",Angers,4,,,MSimon
676,"['07’', 'I.', 'Louza', '(s.p.)']","14-Février-2021,",Angers,7,(s.p.),,ILouzasp
677,"['86’', 'A.', 'Bamba']","14-Février-2021,",Angers,86,,,ABamba
678,"['76’', 'R.', 'Ripart']","14-Février-2021,",Dijon,76,,,RRipart
679,"['87’', 'N.', 'Eliasson']","14-Février-2021,",Dijon,87,,,NEliasson
680,"['B.', 'Chardonnet', '53’']","19-Février-2021,",Brest,53,,,BChardonnet
681,"['I.', 'Cardona', '74’']","19-Février-2021,",Brest,74,,,ICardona
682,"['09’', 'L.', 'Paqueta']","19-Février-2021,",Brest,9,,,LPaqueta
683,"['29’', 'H.', 'Aouar']","19-Février-2021,",Brest,29,,,HAouar
684,"['44’', 'M.', 'Depay', '(s.p.)']","19-Février-2021,",Brest,44,(s.p.),,MDepaysp
685,"['C.', 'Abi', '89’']","20-Février-2021,",Saint-Étienne,89,,,CAbi
686,"['72’', 'E.', 'Touré']","20-Février-2021,",Saint-Étienne,72,,,ETouré
687,"['L.', 'Blas', '50’']","20-Février-2021,",Nantes,50,,,LBlas
688,"['69’', 'D.', 'Payet']","20-Février-2021,",Nantes,69,,,DPayet
689,"['S.', 'Mavididi', '17’']","21-Février-2021,",Montpellier,17,,,SMavididi
690,"['S.', 'Mavididi', '27’']","21-Février-2021,",Montpellier,27,,,SMavididi
691,"['78’', 'S.', 'Guirassy']","21-Février-2021,",Montpellier,78,,,SGuirassy
692,"['S.', 'Fofana', '30’']","21-Février-2021,",Lens,30,,,SFofana
693,"['S.', 'Banza', '64’']","21-Février-2021,",Lens,64,,,SBanza
694,"['61’', 'G.', 'Ngonda', 'Muzinga']","21-Février-2021,",Lens,61,,,GNgondaMuzinga
695,"['(s.p.)', 'A.', 'Gouiri', '59’']","21-Février-2021,",Nice,59,(s.p.),,spAGouiri
696,"['15’', 'B.', 'Kouyaté']","21-Février-2021,",Nice,15,,,BKouyaté
697,"['37’', 'M.', 'Gueye']","21-Février-2021,",Nice,37,,,MGueye
698,"['B.', 'Meling', '14’']","21-Février-2021,",Nîmes,14,,,BMeling
699,"['R.', 'Ripart', '71’']","21-Février-2021,",Nîmes,71,,,RRipart
700,"['J.', 'Hergault', '23’']","21-Février-2021,",Lorient,23,,,JHergault
701,"['21’', 'A.', 'Gravillon', '(csc)']","21-Février-2021,",Lorient,21,,(csc),AGravilloncsc
702,"['38’', 'J.', 'Fonte']","21-Février-2021,",Lorient,38,,,JFonte
703,"['59’', 'J.', 'Ikoné']","21-Février-2021,",Lorient,59,,,JIkoné
704,"['90’', '+1', 'D.', 'Bradaric']","21-Février-2021,",Lorient,901,,,DBradaric
705,"['06’', 'S.', 'Diop']","21-Février-2021,",Paris-SG,6,,,SDiop
706,"['51’', 'G.', 'Maripan']","21-Février-2021,",Paris-SG,51,,,GMaripan
707,"['M.', 'Terrier', '39’']","26-Février-2021,",Rennes,39,,,MTerrier
708,"['19’', 'A.', 'Gouiri', '(s.p.)']","26-Février-2021,",Rennes,19,(s.p.),,AGouirisp
709,"['58’', 'F.', 'Daniliuc']","26-Février-2021,",Rennes,58,,,FDaniliuc
710,"['S.', 'Kalu', '14’']","27-Février-2021,",Bordeaux,14,,,SKalu
711,"['72’', 'T.', 'Delaine']","27-Février-2021,",Bordeaux,72,,,TDelaine
712,"['90’', '+1', 'V.', 'Dias', 'Goncalves']","27-Février-2021,",Bordeaux,901,,,VDiasGoncalves
713,"['06’', 'M.', 'Kean']","27-Février-2021,",Dijon,6,,,MKean
714,"['32’', 'K.', 'Mbappé', '(s.p.)']","27-Février-2021,",Dijon,32,(s.p.),,KMbappésp
715,"['51’', 'K.', 'Mbappé']","27-Février-2021,",Dijon,51,,,KMbappé
716,"['82’', 'D.', 'Pereira']","27-Février-2021,",Dijon,82,,,DPereira
717,"['S.', 'Jovetic', '76’']","28-Février-2021,",Monaco,76,,,SJovetic
718,"['K.', 'Volland', '90’']","28-Février-2021,",Monaco,90,,,KVolland
719,"['L.', 'Diony', '05’']","28-Février-2021,",Angers,5,,,LDiony
720,"['(s.p.)', 'T.', 'Mangani', '10’']","28-Février-2021,",Angers,10,(s.p.),,spTMangani
721,"['22’', 'J.', 'Clauss']","28-Février-2021,",Angers,22,,,JClauss
722,"['90’', '+2', 'A.', 'Kalimuendo']","28-Février-2021,",Angers,902,,,AKalimuendo
723,"['A.', 'Laurienté', '66’']","28-Février-2021,",Lorient,66,,,ALaurienté
724,"['A.', 'Laurienté', '86’']","28-Février-2021,",Lorient,86,,,ALaurienté
725,"['14’', 'H.', 'Moukoudi']","28-Février-2021,",Lorient,14,,,HMoukoudi
726,"['M.', 'Koné', '76’']","28-Février-2021,",Nîmes,76,,,MKoné
727,"['27’', 'L.', 'Blas']","28-Février-2021,",Nîmes,27,,,LBlas
728,"['J.', 'Fonte', '86’']","28-Février-2021,",Lille,86,,,JFonte
729,"['36’', 'L.', 'Ajorque']","28-Février-2021,",Lille,36,,,LAjorque
730,"['(s.p.)', 'A.', 'Milik', '44’']","28-Février-2021,",Marseille,44,(s.p.),,spAMilik
731,"['21’', 'K.', 'Toko', 'Ekambi']","28-Février-2021,",Marseille,21,,,KTokoEkambi
732,"['H.', 'Aouar', '74’']","03-Mars-2021,",Lyon,74,,,HAouar
733,"['44’', 'A.', 'Fulgini', '(s.p.)']","03-Mars-2021,",Metz,44,(s.p.),,AFulginisp
734,"['H.', 'Moukoudi', '40’']","03-Mars-2021,",Saint-Étienne,40,,,HMoukoudi
735,"['(s.p.)', 'D.', 'Bouanga', '90’', '+6']","03-Mars-2021,",Saint-Étienne,906,(s.p.),,spDBouanga
736,"['20’', 'F.', 'Sotoca', '(s.p.)']","03-Mars-2021,",Saint-Étienne,20,(s.p.),,FSotocasp
737,"['25’', 'A.', 'Kalimuendo']","03-Mars-2021,",Saint-Étienne,25,,,AKalimuendo
738,"['90’', '+3', 'D.', 'Pereira', 'Da', 'Costa']","03-Mars-2021,",Saint-Étienne,903,,,DPereiraDaCosta
739,"['A.', 'Gouiri', '04’']","03-Mars-2021,",Nice,4,,,AGouiri
740,"['A.', 'Claude-Maurice', '75’']","03-Mars-2021,",Nice,75,,,AClaudeMaurice
741,"['50’', 'L.', 'Landre']","03-Mars-2021,",Nice,50,,,LLandre
742,"['F.', 'Honorat', '17’']","03-Mars-2021,",Brest,17,,,FHonorat
743,"['S.', 'Mounié', '27’']","03-Mars-2021,",Brest,27,,,SMounié
744,"['I.', 'Cardona', '40’']","03-Mars-2021,",Brest,40,,,ICardona
745,"['29’', 'R.', 'Assalé']","03-Mars-2021,",Brest,29,,,RAssalé
746,"['J.', 'David', '90’']","03-Mars-2021,",Lille,90,,,JDavid
747,"['J.', 'David', '90’', '+2']","03-Mars-2021,",Lille,902,,,JDavid
748,"['20’', 'P.', 'Sarabia']","03-Mars-2021,",Bordeaux,20,,,PSarabia
749,"['F.', 'Guilbert', '90’', '+1']","03-Mars-2021,",Strasbourg,901,,,FGuilbert
750,"['S.', 'Mavididi', '28’']","03-Mars-2021,",Montpellier,28,,,SMavididi
751,"['09’', 'A.', 'Grbic', '(s.p.)']","03-Mars-2021,",Montpellier,9,(s.p.),,AGrbicsp
752,"['M.', 'Simon', '14’']","03-Mars-2021,",Nantes,14,,,MSimon
753,"['39’', 'G.', 'Konan']","03-Mars-2021,",Nantes,39,,,GKonan
754,"['89’', 'Y.', 'Abdelhamid']","03-Mars-2021,",Nantes,89,,,YAbdelhamid
755,"['M.', 'Cafaro', '33’']","12-Mars-2021,",Reims,33,,,MCafaro
756,"['90’', '+2', 'T.', 'Kadewere']","12-Mars-2021,",Reims,902,,,TKadewere
757,"['53’', 'W.', 'Khazri']","13-Mars-2021,",Angers,53,,,WKhazri
758,"['A.', 'Milik', '45’', '+1']","13-Mars-2021,",Marseille,451,,,AMilik
759,"['F.', 'Thauvin', '88’']","13-Mars-2021,",Marseille,88,,,FThauvin
760,"['M.', 'Cuisance', '90’', '+2']","13-Mars-2021,",Marseille,902,,,MCuisance
761,"['71’', 'L.', 'Brassier']","13-Mars-2021,",Marseille,71,,,LBrassier
762,"['M.', 'Koné', '62’']","14-Mars-2021,",Nîmes,62,,,MKoné
763,"['78’', 'A.', 'Delort']","14-Mars-2021,",Nîmes,78,,,ADelort
764,"['J.', 'Clauss', '13’']","14-Mars-2021,",Lens,13,,,JClauss
765,"['Y.', 'Cahuzac', '36’']","14-Mars-2021,",Lens,36,,,YCahuzac
766,"['27’', 'V.', 'Dias', 'Goncalves', '(s.p.)']","14-Mars-2021,",Lens,27,(s.p.),,VDiasGoncalvessp
767,"['57’', 'T.', 'Delaine']","14-Mars-2021,",Lens,57,,,TDelaine
768,"['B.', 'Bourigeaud', '25’']","14-Mars-2021,",Rennes,25,,,BBourigeaud
769,"['Y.', 'Wissa', '66’']","14-Mars-2021,",Lorient,66,,,YWissa
770,"['58’', 'M.', 'Maolida']","14-Mars-2021,",Lorient,58,,,MMaolida
771,"['M.', 'Konaté', '90’']","14-Mars-2021,",Dijon,90,,,MKonaté
772,"['33’', 'U.', 'Hwang']","14-Mars-2021,",Dijon,33,,,UHwang
773,"['45’', 'U.', 'Hwang']","14-Mars-2021,",Dijon,45,,,UHwang
774,"['50’', 'N.', 'De', 'Préville']","14-Mars-2021,",Dijon,50,,,NDePréville
775,"['J.', 'Draxler', '42’']","14-Mars-2021,",Paris-SG,42,,,JDraxler
776,"['59’', 'R.', 'Kolo', 'Muani']","14-Mars-2021,",Paris-SG,59,,,RKoloMuani
777,"['71’', 'M.', 'Simon']","14-Mars-2021,",Paris-SG,71,,,MSimon
778,"['13’', 'S.', 'Jovetic']","19-Mars-2021,",Saint-Étienne,13,,,SJovetic
779,"['55’', 'A.', 'Tchouaméni']","19-Mars-2021,",Saint-Étienne,55,,,ATchouaméni
780,"['65’', 'S.', 'Diop']","19-Mars-2021,",Saint-Étienne,65,,,SDiop
781,"['76’', 'K.', 'Diatta']","19-Mars-2021,",Saint-Étienne,76,,,KDiatta
782,"['P.', 'Yade', '90’']","20-Mars-2021,",Metz,90,,,PYade
783,"['18’', 'J.', 'Doku']","20-Mars-2021,",Metz,18,,,JDoku
784,"['38’', 'M.', 'Terrier', '(s.p.)']","20-Mars-2021,",Metz,38,(s.p.),,MTerriersp
785,"['88’', 'S.', 'Guirassy']","20-Mars-2021,",Metz,88,,,SGuirassy
786,"['K.', 'Thuram', '34’']","20-Mars-2021,",Nice,34,,,KThuram
787,"['A.', 'Gouiri', '74’']","20-Mars-2021,",Nice,74,,,AGouiri
788,"['A.', 'Claude-Maurice', '90’', '+1']","20-Mars-2021,",Nice,901,,,AClaudeMaurice
789,"['J.', 'Bellegarde', '20’']","21-Mars-2021,",Strasbourg,20,,,JBellegarde
790,"['06’', 'M.', 'Haïdara']","21-Mars-2021,",Strasbourg,6,,,MHaïdara
791,"['40’', 'S.', 'Fofana']","21-Mars-2021,",Strasbourg,40,,,SFofana
792,"['J.', 'Sambia', '35’']","21-Mars-2021,",Montpellier,35,,,JSambia
793,"['G.', 'Laborde', '58’']","21-Mars-2021,",Montpellier,58,,,GLaborde
794,"['S.', 'Mavididi', '69’']","21-Mars-2021,",Montpellier,69,,,SMavididi
795,"['28’', 'U.', 'Hwang']","21-Mars-2021,",Montpellier,28,,,UHwang
796,"['50’', 'B.', 'Dia']","21-Mars-2021,",Dijon,50,,,BDia
797,"['R.', 'Kolo', 'Muani', '02’']","21-Mars-2021,",Nantes,2,,,RKoloMuani
798,"['87’', 'A.', 'Laurienté']","21-Mars-2021,",Nantes,87,,,ALaurienté
799,"['Xeka', '20’']","21-Mars-2021,",Lille,20,,,Xeka
800,"['12’', 'M.', 'Koné']","21-Mars-2021,",Lille,12,,,MKoné
801,"['45’', 'R.', 'Ripart']","21-Mars-2021,",Lille,45,,,RRipart
802,"['I.', 'Slimani', '62’']","21-Mars-2021,",Lyon,62,,,ISlimani
803,"['M.', 'Cornet', '81’']","21-Mars-2021,",Lyon,81,,,MCornet
804,"['15’', 'K.', 'Mbappé']","21-Mars-2021,",Lyon,15,,,KMbappé
805,"['32’', 'D.', 'Pereira']","21-Mars-2021,",Lyon,32,,,DPereira
806,"['47’', 'A.', 'Di', 'Maria']","21-Mars-2021,",Lyon,47,,,ADiMaria
807,"['52’', 'K.', 'Mbappé']","21-Mars-2021,",Lyon,52,,,KMbappé
808,"['(s.p.)', 'F.', 'Fabregas', '50’']","03-Avril-2021,",Monaco,50,(s.p.),,spFFabregas
809,"['K.', 'Volland', '52’']","03-Avril-2021,",Monaco,52,,,KVolland
810,"['W.', 'Ben', 'Yedder', '77’']","03-Avril-2021,",Monaco,77,,,WBenYedder
811,"['(s.p.)', 'W.', 'Ben', 'Yedder', '89’']","03-Avril-2021,",Monaco,89,(s.p.),,spWBenYedder
812,"['20’', 'J.', 'David']","03-Avril-2021,",Paris-SG,20,,,JDavid
813,"['J.', 'Clauss', '65’']","03-Avril-2021,",Lens,65,,,JClauss
814,"['81’', 'L.', 'Paqueta']","03-Avril-2021,",Lens,81,,,LPaqueta
815,"['S.', 'Bahoken', '72’']","04-Avril-2021,",Angers,72,,,SBahoken
816,"['47’', 'S.', 'Mavididi']","04-Avril-2021,",Angers,47,,,SMavididi
817,"['B.', 'Dia', '60’']","04-Avril-2021,",Reims,60,,,BDia
818,"['G.', 'Konan', '81’']","04-Avril-2021,",Reims,81,,,GKonan
819,"['75’', 'S.', 'Guirassy', '(s.p.)']","04-Avril-2021,",Reims,75,(s.p.),,SGuirassysp
820,"['83’', 'S.', 'Guirassy']","04-Avril-2021,",Reims,83,,,SGuirassy
821,"['A.', 'Touré', '32’']","04-Avril-2021,",Nantes,32,,,ATouré
822,"['11’', 'K.', 'Dolberg', '(s.p.)']","04-Avril-2021,",Nantes,11,(s.p.),,KDolbergsp
823,"['29’', 'K.', 'Dolberg']","04-Avril-2021,",Nantes,29,,,KDolberg
824,"['P.', 'Baysse', '36’']","04-Avril-2021,",Bordeaux,36,,,PBaysse
825,"['(s.p.)', 'U.', 'Hwang', '45’', '+2']","04-Avril-2021,",Bordeaux,452,(s.p.),,spUHwang
826,"['06’', 'L.', 'Koné']","04-Avril-2021,",Bordeaux,6,,,LKoné
827,"['21’', 'H.', 'Diallo']","04-Avril-2021,",Bordeaux,21,,,HDiallo
828,"['30’', 'L.', 'Ajorque', '(s.p.)']","04-Avril-2021,",Bordeaux,30,(s.p.),,LAjorquesp
829,"['L.', 'Abergel', '45’']","04-Avril-2021,",Lorient,45,,,LAbergel
830,"['23’', 'W.', 'Khazri']","04-Avril-2021,",Nîmes,23,,,WKhazri
831,"['66’', 'D.', 'Bouanga']","04-Avril-2021,",Nîmes,66,,,DBouanga
832,"['L.', 'Balerdi', '45’', '+1']","04-Avril-2021,",Marseille,451,,,LBalerdi
833,"['A.', 'Gonzalez', '79’']","04-Avril-2021,",Marseille,79,,,AGonzalez
834,"['60’', 'B.', 'Yilmaz']","09-Avril-2021,",Metz,60,,,BYilmaz
835,"['89’', 'M.', 'Çelik']","09-Avril-2021,",Metz,89,,,MÇelik
836,"['M.', 'Sahi', '63’']","10-Avril-2021,",Strasbourg,63,,,MSahi
837,"['16’', 'K.', 'Mbappé']","10-Avril-2021,",Strasbourg,16,,,KMbappé
838,"['27’', 'P.', 'Sarabia']","10-Avril-2021,",Strasbourg,27,,,PSarabia
839,"['45’', 'M.', 'Kean']","10-Avril-2021,",Strasbourg,45,,,MKean
840,"['79’', 'L.', 'Paredes']","10-Avril-2021,",Strasbourg,79,,,LParedes
841,"['A.', 'Delort', '01’']","10-Avril-2021,",Montpellier,1,,,ADelort
842,"['G.', 'Laborde', '47’']","10-Avril-2021,",Montpellier,47,,,GLaborde
843,"['G.', 'Laborde', '90’', '+3']","10-Avril-2021,",Montpellier,903,,,GLaborde
844,"['43’', 'A.', 'Milik']","10-Avril-2021,",Montpellier,43,,,AMilik
845,"['45’', '+2', 'P.', 'Gueye']","10-Avril-2021,",Montpellier,452,,,PGueye
846,"['71’', 'L.', 'Perrin']","10-Avril-2021,",Montpellier,71,,,LPerrin
847,"['M.', 'Terrier', '52’']","11-Avril-2021,",Rennes,52,,,MTerrier
848,"['(s.p.)', 'G.', 'Kakuta', '16’']","11-Avril-2021,",Lens,16,(s.p.),,spGKakuta
849,"['C.', 'Jean', '39’']","11-Avril-2021,",Lens,39,,,CJean
850,"['A.', 'Kalimuendo', '55’']","11-Avril-2021,",Lens,55,,,AKalimuendo
851,"['(s.p.)', 'S.', 'Banza', '88’']","11-Avril-2021,",Lens,88,(s.p.),,spSBanza
852,"['29’', 'T.', 'Moffi']","11-Avril-2021,",Lens,29,,,TMoffi
853,"['(s.p.)', 'W.', 'Khazri', '19’']","11-Avril-2021,",Saint-Étienne,19,(s.p.),,spWKhazri
854,"['W.', 'Khazri', '23’']","11-Avril-2021,",Saint-Étienne,23,,,WKhazri
855,"['(s.p.)', 'W.', 'Khazri', '71’']","11-Avril-2021,",Saint-Étienne,71,(s.p.),,spWKhazri
856,"['Z.', 'Youssouf', '81’']","11-Avril-2021,",Saint-Étienne,81,,,ZYoussouf
857,"['09’', 'U.', 'Hwang', '(s.p.)']","11-Avril-2021,",Saint-Étienne,9,(s.p.),,UHwangsp
858,"['B.', 'Chardonnet', '26’']","11-Avril-2021,",Brest,26,,,BChardonnet
859,"['11’', 'M.', 'Koné']","11-Avril-2021,",Brest,11,,,MKoné
860,"['S.', 'Jovetic', '49’']","11-Avril-2021,",Monaco,49,,,SJovetic
861,"['W.', 'Ben', 'Yedder', '63’']","11-Avril-2021,",Monaco,63,,,WBenYedder
862,"['(s.p.)', 'W.', 'Ben', 'Yedder', '89’']","11-Avril-2021,",Monaco,89,(s.p.),,spWBenYedder
863,"['M.', 'Depay', '21’']","11-Avril-2021,",Lyon,21,,,MDepay
864,"['L.', 'Paqueta', '41’']","11-Avril-2021,",Lyon,41,,,LPaqueta
865,"['M.', 'Depay', '83’']","11-Avril-2021,",Lyon,83,,,MDepay
866,"['L.', 'Araujo', '85’']","16-Avril-2021,",Lille,85,,,LAraujo
867,"['21’', 'A.', 'Delort']","16-Avril-2021,",Lille,21,,,ADelort
868,"['45’', '+1', 'J.', 'Doku']","17-Avril-2021,",Angers,451,,,JDoku
869,"['63’', 'M.', 'Terrier']","17-Avril-2021,",Angers,63,,,MTerrier
870,"['90’', '+1', 'S.', 'Guirassy']","17-Avril-2021,",Angers,901,,,SGuirassy
871,"['D.', 'Payet', '53’']","17-Avril-2021,",Marseille,53,,,DPayet
872,"['P.', 'Lirola', '56’']","17-Avril-2021,",Marseille,56,,,PLirola
873,"['P.', 'Lirola', '90’', '+1']","17-Avril-2021,",Marseille,901,,,PLirola
874,"['19’', 'T.', 'Moffi']","17-Avril-2021,",Marseille,19,,,TMoffi
875,"['70’', 'T.', 'Moffi']","17-Avril-2021,",Marseille,70,,,TMoffi
876,"['K.', 'Mbappé', '79’']","18-Avril-2021,",Paris-SG,79,,,KMbappé
